"date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","ratified_name","verification_status","network_parameter_id","network_id"
2011-01-01,2012-01-01,"hope","Stanford-le-Hope Roadside","pm25",17.931491,65524,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"hope","Stanford-le-Hope Roadside","pm25",15.253939,65524,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"hors","London Westminster","gr25",12.641844,65411,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2011-01-01,2012-01-01,"hors","London Westminster","gr25",12.682635,65411,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2012-01-01,2013-01-01,"hors","London Westminster","gr25",11.666667,65411,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2010-01-01,2011-01-01,"hr3","London Harrow Stanmore","pm25",12.834136,65553,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"hr3","London Harrow Stanmore","pm25",15.956077,65553,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"hr3","London Harrow Stanmore","pm25",12.215474,65553,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"hrl","London Harlington","pm25",13.450638,65055,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"hrl","London Harlington","pm25",15.746504,65055,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"hrl","London Harlington","pm25",13.411536,65055,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
